City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mandalgovi,MN,22.05,few clouds,45.7625,106.2708,В.Ганбат
1,Half Moon Bay,US,76.24,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
2,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
3,Tateyama,JP,48.22,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
4,Santa Vitoria Do Palmar,BR,65.41,broken clouds,-33.5189,-53.3681,Hostel Comodoro
5,Marapanim,BR,81.09,overcast clouds,-0.7175,-47.6997,Ecomangue Pousada
6,Rikitea,PF,76.33,clear sky,-23.1203,-134.9692,People ThankYou
7,Ostrovnoy,RU,25.14,light snow,68.0531,39.5131,
8,Limoeiro Do Ajuru,BR,85.19,overcast clouds,-1.8953,-49.3806,Hotel Dalva
9,Vardo,NO,35.58,broken clouds,70.3705,31.1107,Vardø Hotel AS
10,Busselton,AU,49.08,scattered clouds,-33.65,115.3333,Observatory Guest House
11,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
12,Jamestown,US,40.59,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Svencionys,LT,22.96,overcast clouds,55.15,26.1667,Šviesa
14,Taoudenni,ML,69.94,overcast clouds,22.6783,-3.9836,
16,Saint George,US,73.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
17,Khabarovsk,RU,4.8,overcast clouds,48.4808,135.0928,Хабаровск Сити бутик-отель
18,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,San Patricio,US,83.05,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
23,Ushuaia,AR,53.22,light rain,-54.8,-68.3,Albatros Hotel
24,Dingle,PH,75.51,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
25,Albanel,CA,21.34,broken clouds,48.8832,-72.4487,Camping municipal d'Albanel
26,Dongsheng,CN,19.36,clear sky,39.8161,109.9776,Crowne Plaza Ordos
27,Hermanus,ZA,60.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
28,Hilo,US,79.79,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
29,Santa Rita,BR,83.07,few clouds,-7.1139,-34.9781,Infinity Motel
30,Lasa,IT,36.48,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
32,Qaanaaq,GL,5.59,few clouds,77.484,-69.3632,Qaanaaq Hotel
33,Tasiilaq,GL,20.5,snow,65.6145,-37.6368,The Red House
34,Auburn,US,60.53,broken clouds,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
35,Port Alfred,ZA,68.0,broken clouds,-33.5906,26.891,The Halyards Hotel
36,Blythe,US,80.04,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
37,Asau,RO,36.75,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
38,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
39,Codrington,AU,59.83,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
40,Wuchi,CN,36.18,overcast clouds,29.3786,103.023,Mine Hotel
41,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
43,Punta Arenas,CL,57.22,overcast clouds,-53.15,-70.9167,Hotel Hain
44,Goma,CD,63.21,light rain,-1.6792,29.2228,Hotel la Versailles Goma
46,Ilorin,NG,82.76,clear sky,8.5,4.55,Ayala Suite Annex
47,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
48,New Norfolk,AU,69.75,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
49,North Platte,US,67.32,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
50,Kirksville,US,61.05,clear sky,40.1948,-92.5833,Budget Host-Village Inn
51,Korla,CN,22.53,clear sky,41.7597,86.1469,Gulisitan Hotel
52,Margate,GB,43.3,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
53,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
54,Halifax,CA,39.2,few clouds,44.6453,-63.5724,Hotel Halifax
55,Fernie,CA,56.61,overcast clouds,49.5,-115.0687,Fernie Stanford Resort
56,Biak,ID,76.8,overcast clouds,-0.9131,122.8766,Penginapan Kim
57,Curup,ID,65.3,broken clouds,-3.4667,102.5333,Ayi The Costel
58,Cidreira,BR,68.63,few clouds,-30.1811,-50.2056,Hotel Castelo
59,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
60,Dwarka,IN,71.29,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
61,Tamale,GH,84.6,broken clouds,9.4008,-0.8393,Tap Hotel
62,Makinsk,KZ,24.51,overcast clouds,52.6292,70.4169,Bereke
63,Cape Town,ZA,63.09,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
64,Manuk Mangkaw,PH,82.6,moderate rain,4.8,119.85,
65,Kapaa,US,80.92,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Atuona,PF,78.46,light rain,-9.8,-139.0333,Villa Enata
67,Palora,EC,84.18,overcast clouds,-1.7,-77.9333,Rancho grande
68,Sabha,LY,57.87,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
69,Umm Lajj,SA,76.28,clear sky,25.0213,37.2685,Moon light Furnished Units
70,Kemijarvi,FI,18.73,light snow,66.7131,27.4306,Hotelli Kemijärvi
71,Jawhar,SO,77.72,overcast clouds,2.7809,45.5005,hantiwadaag village part one
72,Linxia,CN,22.46,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
