City_ID,City,Country,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mandalgovi,MN,45.7625,106.2708,few clouds,22.05,37,15,15.32
1,Half Moon Bay,US,37.4636,-122.4286,clear sky,76.24,56,1,4.61
2,Carnarvon,AU,-24.8667,113.6333,clear sky,68.07,68,0,21.85
3,Tateyama,JP,34.9833,139.8667,clear sky,48.22,47,4,9.24
4,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,broken clouds,65.41,61,76,9.55
5,Marapanim,BR,-0.7175,-47.6997,overcast clouds,81.09,78,100,7.9
6,Rikitea,PF,-23.1203,-134.9692,clear sky,76.33,70,0,17.2
7,Ostrovnoy,RU,68.0531,39.5131,light snow,25.14,89,100,34.65
8,Limoeiro Do Ajuru,BR,-1.8953,-49.3806,overcast clouds,85.19,62,100,4.63
9,Vardo,NO,70.3705,31.1107,broken clouds,35.58,60,75,35.68
10,Busselton,AU,-33.65,115.3333,scattered clouds,49.08,82,38,9.53
11,Tautira,PF,-17.7333,-149.15,light rain,86.02,79,100,21.97
12,Jamestown,US,42.097,-79.2353,scattered clouds,40.59,68,40,4.0
13,Svencionys,LT,55.15,26.1667,overcast clouds,22.96,91,100,6.46
14,Taoudenni,ML,22.6783,-3.9836,overcast clouds,69.94,13,90,11.07
15,Haines Junction,CA,60.7522,-137.5108,overcast clouds,-0.45,85,100,1.14
16,Saint George,US,37.1041,-113.5841,clear sky,73.87,23,1,3.0
17,Khabarovsk,RU,48.4808,135.0928,overcast clouds,4.8,71,99,15.99
18,Vaini,TO,-21.2,-175.2,broken clouds,80.76,83,75,12.66
19,Souillac,MU,-20.5167,57.5167,light rain,77.38,78,20,5.75
20,Puerto Ayora,EC,-0.7393,-90.3518,broken clouds,80.56,78,64,10.22
21,Ust-Nera,RU,64.5667,143.2,broken clouds,-43.96,100,58,4.79
22,San Patricio,US,28.017,-97.5169,overcast clouds,83.05,53,97,2.55
23,Ushuaia,AR,-54.8,-68.3,light rain,53.22,37,40,24.16
24,Dingle,PH,10.9995,122.6711,overcast clouds,75.51,95,100,7.29
25,Albanel,CA,48.8832,-72.4487,broken clouds,21.34,58,81,10.36
26,Dongsheng,CN,39.8161,109.9776,clear sky,19.36,57,1,15.1
27,Hermanus,ZA,-34.4187,19.2345,broken clouds,60.91,71,82,7.18
28,Hilo,US,19.7297,-155.09,heavy intensity rain,79.79,89,90,3.44
29,Santa Rita,BR,-7.1139,-34.9781,few clouds,83.07,69,20,10.36
30,Lasa,IT,46.6166,10.7002,overcast clouds,36.48,97,100,2.13
31,Yellowknife,CA,62.456,-114.3525,broken clouds,-1.59,86,75,8.05
32,Qaanaaq,GL,77.484,-69.3632,few clouds,5.59,80,22,4.54
33,Tasiilaq,GL,65.6145,-37.6368,snow,20.5,92,100,32.35
34,Auburn,US,47.3073,-122.2284,broken clouds,60.53,78,75,1.99
35,Port Alfred,ZA,-33.5906,26.891,broken clouds,68.0,90,51,12.91
36,Blythe,US,33.6103,-114.5964,clear sky,80.04,19,1,4.61
37,Asau,RO,46.4333,26.4,overcast clouds,36.75,86,99,6.73
38,Comodoro Rivadavia,AR,-45.8667,-67.5,clear sky,66.06,45,0,14.97
39,Codrington,AU,-38.2667,141.9667,broken clouds,59.83,90,74,5.79
40,Wuchi,CN,29.3786,103.023,overcast clouds,36.18,94,100,2.68
41,Muisne,EC,0.6,-80.0333,overcast clouds,82.51,83,100,6.64
