City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fortuna,40.5982,-124.1573,61.93,84,1,5.01,US,2021-11-29 19:35:45
1,Rikitea,-23.1203,-134.9692,76.42,76,1,22.15,PF,2021-11-29 19:33:21
2,Arraial Do Cabo,-22.9661,-42.0278,82.36,69,0,12.66,BR,2021-11-29 19:33:30
3,Anito,12.4497,125.2886,77.94,88,100,3.18,PH,2021-11-29 19:35:46
4,Mataura,-46.1927,168.8643,56.48,77,97,3.78,NZ,2021-11-29 19:33:20
5,Bolshoye Selo,57.7177,38.9334,35.53,98,100,10.47,RU,2021-11-29 19:35:46
6,Tuatapere,-46.1333,167.6833,56.82,72,100,0.89,NZ,2021-11-29 19:35:47
7,Victoria,22.2855,114.1577,71.65,68,0,7.0,HK,2021-11-29 19:32:15
8,Hilo,19.7297,-155.09,71.62,81,90,3.44,US,2021-11-29 19:33:32
9,Port Alfred,-33.5906,26.891,67.55,87,84,7.92,ZA,2021-11-29 19:35:47
10,Kapaa,22.0752,-159.319,79.12,66,40,5.01,US,2021-11-29 19:35:48
11,Fairbanks,64.8378,-147.7164,-18.44,68,90,0.0,US,2021-11-29 19:35:48
12,Yar-Sale,66.8333,70.8333,-0.24,98,91,8.93,RU,2021-11-29 19:35:49
13,Miraflores,19.2167,-98.8083,70.56,40,15,3.51,MX,2021-11-29 19:35:49
14,Narsaq,60.9167,-46.05,32.22,99,100,9.53,GL,2021-11-29 19:35:49
15,Port Lincoln,-34.7333,135.8667,64.96,59,57,9.35,AU,2021-11-29 19:35:50
16,Mogadishu,2.0371,45.3438,81.1,79,15,16.37,SO,2021-11-29 19:35:50
17,Los Llanos De Aridane,28.6585,-17.9182,61.12,81,75,14.97,ES,2021-11-29 19:35:50
18,Airai,-8.9266,125.4092,61.43,83,100,1.59,TL,2021-11-29 19:35:51
19,Saint-Philippe,-21.3585,55.7679,76.55,84,57,7.11,RE,2021-11-29 19:35:51
20,Anloga,5.7947,0.8973,82.62,76,63,12.35,GH,2021-11-29 19:35:52
21,Neiafu,-18.65,-173.9833,77.68,73,40,8.05,TO,2021-11-29 19:35:53
22,Coquimbo,-29.9533,-71.3436,64.13,67,20,13.8,CL,2021-11-29 19:35:54
23,Ushuaia,-54.8,-68.3,42.46,75,75,21.85,AR,2021-11-29 19:35:54
24,Watrous,51.6668,-105.4679,38.98,81,32,11.5,CA,2021-11-29 19:35:55
25,Nikolskoye,59.7035,30.7861,25.39,95,100,10.71,RU,2021-11-29 19:35:55
26,Sitka,57.0531,-135.33,37.29,65,90,16.11,US,2021-11-29 19:33:09
27,East London,-33.0153,27.9116,69.78,80,39,13.18,ZA,2021-11-29 19:35:56
28,Rio Grande,-32.035,-52.0986,78.91,71,92,20.74,BR,2021-11-29 19:35:57
29,Jamestown,42.097,-79.2353,36.72,79,90,7.0,US,2021-11-29 19:32:29
30,Hobart,-42.8794,147.3294,55.11,90,20,1.99,AU,2021-11-29 19:35:57
31,Kavieng,-2.5744,150.7967,82.49,79,100,17.02,PG,2021-11-29 19:35:58
32,Necochea,-38.5473,-58.7368,62.04,67,20,17.0,AR,2021-11-29 19:35:58
33,Malpe,13.35,74.7167,78.1,89,84,4.72,IN,2021-11-29 19:35:59
34,Oda,35.1833,132.5,49.77,83,45,11.7,JP,2021-11-29 19:35:59
35,Coos Bay,43.3665,-124.2179,58.98,91,20,3.44,US,2021-11-29 19:36:00
36,Te Anau,-45.4167,167.7167,55.06,62,66,0.2,NZ,2021-11-29 19:36:00
37,Yellowknife,62.456,-114.3525,-11.58,81,20,14.97,CA,2021-11-29 19:36:01
38,Naberera,-4.2,36.9333,66.67,81,99,10.36,TZ,2021-11-29 19:36:01
39,Vardo,70.3705,31.1107,21.18,86,75,23.02,NO,2021-11-29 19:34:40
40,Dubbo,-32.25,148.6167,59.13,94,40,8.05,AU,2021-11-29 19:32:12
41,Viedma,-40.8135,-62.9967,73.36,26,0,16.96,AR,2021-11-29 19:36:02
42,Kiama,-34.6833,150.8667,64.38,89,70,2.21,AU,2021-11-29 19:36:02
43,Bonoua,5.2741,-3.595,83.82,84,4,5.99,CI,2021-11-29 19:36:03
44,Vao,-22.6667,167.4833,76.19,90,90,15.68,NC,2021-11-29 19:33:21
45,Marsh Harbour,26.5412,-77.0636,71.6,65,2,16.51,BS,2021-11-29 19:36:03
46,Port Elizabeth,-33.918,25.5701,62.1,94,0,5.75,ZA,2021-11-29 19:34:53
47,Jiangyou,31.7667,104.7167,48.88,74,80,1.7,CN,2021-11-29 19:36:04
48,Butaritari,3.0707,172.7902,81.21,81,35,11.36,KI,2021-11-29 19:36:04
49,Alihe,50.5667,123.7167,4.12,97,13,2.8,CN,2021-11-29 19:36:05
50,Punta Arenas,-53.15,-70.9167,50.11,50,40,31.07,CL,2021-11-29 19:35:33
51,Klaksvik,62.2266,-6.589,36.52,75,100,23.91,FO,2021-11-29 19:36:05
52,Clyde River,70.4692,-68.5914,-1.97,84,75,6.91,CA,2021-11-29 19:36:06
53,Ribeira Grande,38.5167,-28.7,59.4,72,20,6.91,PT,2021-11-29 19:36:06
54,Castro,-24.7911,-50.0119,74.39,75,46,8.46,BR,2021-11-29 19:36:06
55,Ahipara,-35.1667,173.1667,66.72,71,28,3.58,NZ,2021-11-29 19:36:07
56,Ancud,-41.8697,-73.8203,64.22,63,47,7.96,CL,2021-11-29 19:31:43
57,Lebu,-37.6167,-73.65,58.6,75,77,18.32,CL,2021-11-29 19:31:57
58,Puerto Ayora,-0.7393,-90.3518,80.56,80,81,10.54,EC,2021-11-29 19:36:07
59,Kaitangata,-46.2817,169.8464,60.93,67,100,5.68,NZ,2021-11-29 19:36:08
60,Uvinza,-5.1036,30.3911,69.01,85,85,2.42,TZ,2021-11-29 19:36:08
61,Beyneu,45.3167,55.2,38.93,62,2,11.12,KZ,2021-11-29 19:36:08
62,Ust-Nera,64.5667,143.2,-15.66,99,100,2.77,RU,2021-11-29 19:36:09
63,Bezhanitsy,56.9767,29.8907,36.72,100,100,5.91,RU,2021-11-29 19:36:09
64,Chuy,-33.6971,-53.4616,65.08,92,100,20.51,UY,2021-11-29 19:36:10
65,Ilulissat,69.2167,-51.1,33.82,80,75,3.44,GL,2021-11-29 19:36:10
66,Bredasdorp,-34.5322,20.0403,60.28,60,25,11.1,ZA,2021-11-29 19:36:10
67,Cidreira,-30.1811,-50.2056,78.26,56,33,12.5,BR,2021-11-29 19:36:11
68,Thompson,55.7435,-97.8558,21.36,86,90,5.75,CA,2021-11-29 19:36:11
69,Carnarvon,-24.8667,113.6333,69.87,83,40,20.71,AU,2021-11-29 19:36:12
70,Ugoofaaru,5.6667,73.0,77.67,90,100,13.13,MV,2021-11-29 19:36:12
71,Busselton,-33.65,115.3333,57.04,72,11,8.23,AU,2021-11-29 19:36:13
72,Tazovskiy,67.4667,78.7,-2.45,96,100,13.15,RU,2021-11-29 19:36:13
73,Biri,12.6833,124.3636,80.98,82,98,6.06,PH,2021-11-29 19:36:13
74,Sao Filipe,14.8961,-24.4956,75.99,68,100,14.03,CV,2021-11-29 19:36:14
75,Albany,42.6001,-73.9662,33.1,71,97,4.0,US,2021-11-29 19:35:54
76,Georgetown,5.4112,100.3354,76.95,95,40,0.0,MY,2021-11-29 19:36:03
77,Yakeshi,49.2833,120.7333,0.91,99,100,4.88,CN,2021-11-29 19:36:14
78,Puerto El Triunfo,13.2833,-88.55,95.16,45,1,3.49,SV,2021-11-29 19:36:15
79,Provideniya,64.3833,-173.3,-4.99,87,3,8.84,RU,2021-11-29 19:36:15
80,Hermanus,-34.4187,19.2345,61.9,76,58,12.28,ZA,2021-11-29 19:35:54
81,New Norfolk,-42.7826,147.0587,54.75,76,41,2.39,AU,2021-11-29 19:36:16
82,Cape Town,-33.9258,18.4232,63.88,86,20,10.36,ZA,2021-11-29 19:36:16
83,Vaini,-21.2,-175.2,78.96,73,40,10.36,TO,2021-11-29 19:36:17
84,Maxixe,-23.8597,35.3472,72.79,75,0,10.69,MZ,2021-11-29 19:36:17
85,Road Town,18.4167,-64.6167,86.04,70,40,10.36,VG,2021-11-29 19:36:18
86,Geraldton,-28.7667,114.6,66.61,68,90,16.11,AU,2021-11-29 19:36:18
87,Vanimo,-2.6741,141.3028,77.36,89,100,1.16,PG,2021-11-29 19:36:18
88,Hirara,24.8,125.2833,73.6,77,93,13.24,JP,2021-11-29 19:36:19
89,Point Pedro,9.8167,80.2333,79.18,86,98,11.5,LK,2021-11-29 19:36:19
90,Tiksi,71.6872,128.8694,-22.25,100,95,6.02,RU,2021-11-29 19:36:20
91,Mantua,45.1667,10.7833,41.7,85,75,3.0,IT,2021-11-29 19:36:20
92,Tulun,54.5611,100.5792,19.49,92,100,3.71,RU,2021-11-29 19:36:20
93,Leningradskiy,69.3833,178.4167,-20.54,96,75,9.13,RU,2021-11-29 19:36:21
94,Barrow,71.2906,-156.7887,-18.38,69,1,8.05,US,2021-11-29 19:33:19
95,Kapit,2.0167,112.9333,73.02,90,99,0.96,MY,2021-11-29 19:36:21
96,San Ramon,37.7799,-121.978,69.24,63,1,3.0,US,2021-11-29 19:31:46
97,High Level,58.5169,-117.136,3.31,92,20,2.3,CA,2021-11-29 19:36:22
98,Maragogi,-9.0122,-35.2225,80.71,78,62,13.85,BR,2021-11-29 19:36:22
99,Sioux Lookout,50.1001,-91.917,25.18,93,90,4.61,CA,2021-11-29 19:35:20
100,Pundaguitan,6.3711,126.1689,81.19,81,100,6.78,PH,2021-11-29 19:36:23
101,Taoudenni,22.6783,-3.9836,68.23,13,74,16.46,ML,2021-11-29 19:36:23
102,Yeppoon,-23.1333,150.7333,73.18,86,42,8.59,AU,2021-11-29 19:36:24
103,Pevek,69.7008,170.3133,1.06,96,100,3.85,RU,2021-11-29 19:33:33
104,Whitehorse,60.7161,-135.0538,9.1,77,75,0.0,CA,2021-11-29 19:36:24
105,Souillac,-20.5167,57.5167,75.36,83,20,3.44,MU,2021-11-29 19:33:34
106,Dakar,14.6937,-17.4441,75.33,69,58,11.5,SN,2021-11-29 19:36:25
107,Quatre Cocos,-20.2078,57.7625,75.09,67,0,6.73,MU,2021-11-29 19:36:25
108,Koulikoro,14.0,-7.75,78.51,18,0,9.06,ML,2021-11-29 19:36:26
109,Richards Bay,-28.783,32.0377,70.02,90,15,5.57,ZA,2021-11-29 19:36:26
110,Lompoc,34.6391,-120.4579,84.13,30,1,0.0,US,2021-11-29 19:32:39
111,Visby,57.6409,18.296,34.86,60,75,12.66,SE,2021-11-29 19:36:27
112,Qaanaaq,77.484,-69.3632,7.52,63,100,7.49,GL,2021-11-29 19:36:27
